,sample_id,X.query,seed_ortholog,evalue,score,eggNOG_OGs,max_annot_lvl,COG_category,Description,Preferred_name,GOs,EC,KEGG_ko,KEGG_Pathway,KEGG_Module,KEGG_Reaction,KEGG_rclass,BRITE,KEGG_TC,CAZy,BiGG_Reaction,PFAMs
27,Lys2_ev_pop2_6,14_6_2811042-3146373_34,287.DR97_5710,1.83E-111,321,"28PP3@1|root,2ZCBK@2|Bacteria,1NE67@1224|Proteobacteria,1SFA2@1236|Gammaproteobacteria,1YGIJ@136841|Pseudomonas aeruginosa group",1236|Gammaproteobacteria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
28,Lys2_ev_pop2_6,14_6_2811042-3146373_60,287.DR97_5996,3.52E-99,288,"2ERHW@1|root,33J3B@2|Bacteria,1NPGZ@1224|Proteobacteria,1TCAA@1236|Gammaproteobacteria,1YK4B@136841|Pseudomonas aeruginosa group",1236|Gammaproteobacteria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
29,Lys2_ev_pop2_6,14_6_2811042-3146373_63,287.DR97_5999,6.88E-53,166,"2AHBH@1|root,317MZ@2|Bacteria,1QEJS@1224|Proteobacteria,1TBB2@1236|Gammaproteobacteria,1YH6D@136841|Pseudomonas aeruginosa group",1236|Gammaproteobacteria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
30,Lys2_ev_pop2_6,14_6_2811042-3146373_98,287.DR97_6027,3.92E-121,347,"2E2KX@1|root,32XQ5@2|Bacteria,1N5SI@1224|Proteobacteria,1SGWF@1236|Gammaproteobacteria,1YIKB@136841|Pseudomonas aeruginosa group",1236|Gammaproteobacteria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
31,Lys2_ev_pop2_6,14_6_2811042-3146373_99,287.DR97_6028,1.97E-77,230,"2E451@1|root,32Z13@2|Bacteria,1N6TT@1224|Proteobacteria,1SF2I@1236|Gammaproteobacteria,1YGXM@136841|Pseudomonas aeruginosa group",1236|Gammaproteobacteria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
32,Lys2_ev_pop2_6,14_6_2811042-3146373_123,287.DR97_6052,4.28E-51,161,"2AS94@1|root,31HN7@2|Bacteria,1QFCX@1224|Proteobacteria,1TCK3@1236|Gammaproteobacteria,1YKEI@136841|Pseudomonas aeruginosa group",1236|Gammaproteobacteria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
33,Lys2_ev_pop2_6,14_6_2811042-3146373_131,1005395.CSV86_19430,2.18E-118,353,"2C93F@1|root,2ZVGC@2|Bacteria,1P6MB@1224|Proteobacteria,1SUUR@1236|Gammaproteobacteria",1236|Gammaproteobacteria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
34,Lys2_ev_pop2_6,14_6_2811042-3146373_140,287.DR97_6068,6.11E-109,313,"2E53M@1|root,32ZWP@2|Bacteria,1N5H5@1224|Proteobacteria,1SEB3@1236|Gammaproteobacteria,1YGIC@136841|Pseudomonas aeruginosa group",1236|Gammaproteobacteria,-,-,-,-,-,ko:K11918,-,-,-,-,"ko00000,ko02044",-,-,-,-
35,Lys2_ev_pop2_6,14_6_2811042-3146373_187,287.DR97_6119,8.76E-102,296,"2EABM@1|root,334FS@2|Bacteria,1NP0B@1224|Proteobacteria",1224|Proteobacteria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
36,Lys2_ev_pop2_6,14_6_2811042-3146373_189,287.DR97_6121,7.03E-32,110,"2AS7K@1|root,31HKM@2|Bacteria,1QFBB@1224|Proteobacteria,1TCHP@1236|Gammaproteobacteria,1YKCC@136841|Pseudomonas aeruginosa group",1236|Gammaproteobacteria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
37,Lys2_ev_pop2_6,14_6_2811042-3146373_213,1042876.PPS_1074,6.55E-53,176,"2BFG2@1|root,3299S@2|Bacteria,1QNEP@1224|Proteobacteria,1TM03@1236|Gammaproteobacteria,1YYSG@136845|Pseudomonas putida group",1236|Gammaproteobacteria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
38,Lys2_ev_pop2_6,14_6_2811042-3146373_216,287.DR97_6151,2.91E-97,283,"2BQNY@1|root,32JJA@2|Bacteria,1QFBI@1224|Proteobacteria,1TCI1@1236|Gammaproteobacteria,1YKCI@136841|Pseudomonas aeruginosa group",1236|Gammaproteobacteria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
39,Lys2_ev_pop2_6,14_6_2811042-3146373_224,287.DR97_6159,1.25E-92,270,"2A11S@1|root,30P7D@2|Bacteria,1Q91Z@1224|Proteobacteria,1TCJI@1236|Gammaproteobacteria,1YKDY@136841|Pseudomonas aeruginosa group",1236|Gammaproteobacteria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
40,Lys2_ev_pop3_4,15_4_2934003-2994541_22,287.DR97_6027,3.92E-121,347,"2E2KX@1|root,32XQ5@2|Bacteria,1N5SI@1224|Proteobacteria,1SGWF@1236|Gammaproteobacteria,1YIKB@136841|Pseudomonas aeruginosa group",1236|Gammaproteobacteria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
41,Lys2_ev_pop3_4,15_4_2934003-2994541_23,287.DR97_6028,1.97E-77,230,"2E451@1|root,32Z13@2|Bacteria,1N6TT@1224|Proteobacteria,1SF2I@1236|Gammaproteobacteria,1YGXM@136841|Pseudomonas aeruginosa group",1236|Gammaproteobacteria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
42,Lys2_ev_pop1_3,13_3_2835111-3078848_132,287.DR97_6084,0,915,"COG2141@1|root,COG2141@2|Bacteria,1MUJ9@1224|Proteobacteria,1RRJM@1236|Gammaproteobacteria,1YDPV@136841|Pseudomonas aeruginosa group",1236|Gammaproteobacteria,C,Luciferase-like monooxygenase,-,-,1.14.14.28,ko:K20938,-,-,-,-,"ko00000,ko01000",-,-,-,Bac_luciferase
43,Lys2_ev_pop1_3,13_3_2835111-3078848_59,287.DR97_6012,1.19E-227,626,"COG4313@1|root,COG4313@2|Bacteria,1ND6Y@1224|Proteobacteria,1RYD3@1236|Gammaproteobacteria,1YJSZ@136841|Pseudomonas aeruginosa group",1236|Gammaproteobacteria,C,Putative MetA-pathway of phenol degradation,-,-,-,-,-,-,-,-,-,-,-,-,Phenol_MetA_deg
44,Lys2_ev_pop1_4,13_4_2839227-3026093_56,287.DR97_6012,1.19E-227,626,"COG4313@1|root,COG4313@2|Bacteria,1ND6Y@1224|Proteobacteria,1RYD3@1236|Gammaproteobacteria,1YJSZ@136841|Pseudomonas aeruginosa group",1236|Gammaproteobacteria,C,Putative MetA-pathway of phenol degradation,-,-,-,-,-,-,-,-,-,-,-,-,Phenol_MetA_deg
45,Lys2_ev_pop2_1,14_1_2921860-3009983_15,287.DR97_6012,1.19E-227,626,"COG4313@1|root,COG4313@2|Bacteria,1ND6Y@1224|Proteobacteria,1RYD3@1236|Gammaproteobacteria,1YJSZ@136841|Pseudomonas aeruginosa group",1236|Gammaproteobacteria,C,Putative MetA-pathway of phenol degradation,-,-,-,-,-,-,-,-,-,-,-,-,Phenol_MetA_deg
46,Lys2_ev_pop2_3,14_3_2890191-3084703_104,287.DR97_6084,0,915,"COG2141@1|root,COG2141@2|Bacteria,1MUJ9@1224|Proteobacteria,1RRJM@1236|Gammaproteobacteria,1YDPV@136841|Pseudomonas aeruginosa group",1236|Gammaproteobacteria,C,Luciferase-like monooxygenase,-,-,1.14.14.28,ko:K20938,-,-,-,-,"ko00000,ko01000",-,-,-,Bac_luciferase
47,Lys2_ev_pop2_3,14_3_2890191-3084703_31,287.DR97_6012,1.19E-227,626,"COG4313@1|root,COG4313@2|Bacteria,1ND6Y@1224|Proteobacteria,1RYD3@1236|Gammaproteobacteria,1YJSZ@136841|Pseudomonas aeruginosa group",1236|Gammaproteobacteria,C,Putative MetA-pathway of phenol degradation,-,-,-,-,-,-,-,-,-,-,-,-,Phenol_MetA_deg
48,Lys2_ev_pop2_6,14_6_2811042-3146373_16,287.DR97_5692,3.29E-151,425,"COG2863@1|root,COG2863@2|Bacteria,1RGTS@1224|Proteobacteria,1SWJK@1236|Gammaproteobacteria,1YK1T@136841|Pseudomonas aeruginosa group",1236|Gammaproteobacteria,C,"Cytochrome C oxidase, cbb3-type, subunit III",-,-,-,-,-,-,-,-,-,-,-,-,Cytochrom_C
49,Lys2_ev_pop2_6,14_6_2811042-3146373_17,287.DR97_5693,6.55E-213,587,"COG3258@1|root,COG3258@2|Bacteria,1NIQK@1224|Proteobacteria,1RZH1@1236|Gammaproteobacteria,1YGC3@136841|Pseudomonas aeruginosa group",1236|Gammaproteobacteria,C,"Cytochrome C oxidase, cbb3-type, subunit III",-,"GO:0003674,GO:0003824,GO:0008150,GO:0008152,GO:0016491,GO:0016667,GO:0016669,GO:0050338,GO:0055114",1.8.2.2,ko:K19713,-,-,-,-,"ko00000,ko01000",-,-,-,"Cytochrom_C,Cytochrome_CBB3"
50,Lys2_ev_pop2_6,14_6_2811042-3146373_202,287.DR97_6135,0,1174,"COG1053@1|root,COG1053@2|Bacteria,1NZBR@1224|Proteobacteria,1RZ0U@1236|Gammaproteobacteria,1YENQ@136841|Pseudomonas aeruginosa group",1236|Gammaproteobacteria,C,Fumarate reductase flavoprotein C-term,-,-,-,-,-,-,-,-,-,-,-,-,"FAD_binding_2,Succ_DH_flav_C"
51,Lys2_ev_pop2_6,14_6_2811042-3146373_205,287.DR97_6140,8.99E-66,216,"COG1413@1|root,COG1413@2|Bacteria,1R4SF@1224|Proteobacteria,1S2HV@1236|Gammaproteobacteria,1YF9N@136841|Pseudomonas aeruginosa group",1236|Gammaproteobacteria,C,HEAT repeat,-,-,-,-,-,-,-,-,-,-,-,-,"HEAT_2,HEAT_PBS"
52,Lys2_ev_pop2_6,14_6_2811042-3146373_156,287.DR97_6084,0,915,"COG2141@1|root,COG2141@2|Bacteria,1MUJ9@1224|Proteobacteria,1RRJM@1236|Gammaproteobacteria,1YDPV@136841|Pseudomonas aeruginosa group",1236|Gammaproteobacteria,C,Luciferase-like monooxygenase,-,-,1.14.14.28,ko:K20938,-,-,-,-,"ko00000,ko01000",-,-,-,Bac_luciferase
53,Lys2_ev_pop2_6,14_6_2811042-3146373_24,287.DR97_5699,1.33E-227,625,"COG4313@1|root,COG4313@2|Bacteria,1ND6Y@1224|Proteobacteria,1RYD3@1236|Gammaproteobacteria,1YJSZ@136841|Pseudomonas aeruginosa group",1236|Gammaproteobacteria,C,Putative MetA-pathway of phenol degradation,-,-,-,-,-,-,-,-,-,-,-,-,Phenol_MetA_deg
54,Lys2_ev_pop2_6,14_6_2811042-3146373_83,287.DR97_6012,1.19E-227,626,"COG4313@1|root,COG4313@2|Bacteria,1ND6Y@1224|Proteobacteria,1RYD3@1236|Gammaproteobacteria,1YJSZ@136841|Pseudomonas aeruginosa group",1236|Gammaproteobacteria,C,Putative MetA-pathway of phenol degradation,-,-,-,-,-,-,-,-,-,-,-,-,Phenol_MetA_deg
55,Lys2_ev_pop2_6,14_6_2811042-3146373_7,287.DR97_5681,7.12E-244,671,"COG0604@1|root,COG0604@2|Bacteria,1R8WR@1224|Proteobacteria,1S10D@1236|Gammaproteobacteria,1YDUZ@136841|Pseudomonas aeruginosa group",1236|Gammaproteobacteria,C,Zinc-binding dehydrogenase,-,-,1.6.5.5,ko:K00344,-,-,-,-,"ko00000,ko01000",-,-,-,"ADH_N,ADH_zinc_N"
56,Lys2_ev_pop3_4,15_4_2934003-2994541_7,287.DR97_6012,1.19E-227,626,"COG4313@1|root,COG4313@2|Bacteria,1ND6Y@1224|Proteobacteria,1RYD3@1236|Gammaproteobacteria,1YJSZ@136841|Pseudomonas aeruginosa group",1236|Gammaproteobacteria,C,Putative MetA-pathway of phenol degradation,-,-,-,-,-,-,-,-,-,-,-,-,Phenol_MetA_deg
57,Lys2_ev_pop2_6,14_6_2811042-3146373_232,287.DR97_6167,0,892,"COG2010@1|root,COG2010@2|Bacteria,1MV6D@1224|Proteobacteria,1RMYF@1236|Gammaproteobacteria,1YDIU@136841|Pseudomonas aeruginosa group",1236|Gammaproteobacteria,C,"Cytochrome C oxidase, cbb3-type, subunit III",adhB,-,1.8.2.2,ko:K19713,-,-,-,-,"ko00000,ko01000",-,-,-,"Cytochrom_C,Cytochrome_CBB3"
58,Lys2_ev_pop2_6,14_6_2811042-3146373_241,287.DR97_6293,4.04E-27,103,"COG2863@1|root,COG2863@2|Bacteria,1N2NB@1224|Proteobacteria,1RZFP@1236|Gammaproteobacteria,1YD73@136841|Pseudomonas aeruginosa group",1236|Gammaproteobacteria,C,"Cytochrome C oxidase, cbb3-type, subunit III",cc4,-,-,-,-,-,-,-,-,-,-,-,Cytochrom_C
59,Lys2_ev_pop1_3,13_3_2835111-3078848_153,287.DR97_6109,0,1076,"COG1012@1|root,COG1012@2|Bacteria,1R3TA@1224|Proteobacteria,1S021@1236|Gammaproteobacteria,1YEA0@136841|Pseudomonas aeruginosa group",1236|Gammaproteobacteria,C,Aldehyde dehydrogenase family,gapN,-,1.2.1.9,ko:K00131,"ko00010,ko00030,ko01100,ko01120,ko01200,map00010,map00030,map01100,map01120,map01200","M00308,M00633",R01058,RC00242,"ko00000,ko00001,ko00002,ko01000",-,-,-,Aldedh
60,Lys2_ev_pop2_3,14_3_2890191-3084703_125,287.DR97_6109,0,1076,"COG1012@1|root,COG1012@2|Bacteria,1R3TA@1224|Proteobacteria,1S021@1236|Gammaproteobacteria,1YEA0@136841|Pseudomonas aeruginosa group",1236|Gammaproteobacteria,C,Aldehyde dehydrogenase family,gapN,-,1.2.1.9,ko:K00131,"ko00010,ko00030,ko01100,ko01120,ko01200,map00010,map00030,map01100,map01120,map01200","M00308,M00633",R01058,RC00242,"ko00000,ko00001,ko00002,ko01000",-,-,-,Aldedh
61,Lys2_ev_pop2_6,14_6_2811042-3146373_177,287.DR97_6109,0,1076,"COG1012@1|root,COG1012@2|Bacteria,1R3TA@1224|Proteobacteria,1S021@1236|Gammaproteobacteria,1YEA0@136841|Pseudomonas aeruginosa group",1236|Gammaproteobacteria,C,Aldehyde dehydrogenase family,gapN,-,1.2.1.9,ko:K00131,"ko00010,ko00030,ko01100,ko01120,ko01200,map00010,map00030,map01100,map01120,map01200","M00308,M00633",R01058,RC00242,"ko00000,ko00001,ko00002,ko01000",-,-,-,Aldedh
62,Lys2_ev_pop1_3,13_3_2835111-3078848_128,287.DR97_6080,7.93E-270,738,"COG0584@1|root,COG0584@2|Bacteria,1R7ZE@1224|Proteobacteria,1SZRJ@1236|Gammaproteobacteria,1YIP8@136841|Pseudomonas aeruginosa group",1236|Gammaproteobacteria,C,Glycerophosphoryl diester phosphodiesterase family,glpQ,-,3.1.4.46,ko:K01126,"ko00564,map00564",-,"R01030,R01470","RC00017,RC00425","ko00000,ko00001,ko01000",-,-,-,GDPD
63,Lys2_ev_pop2_3,14_3_2890191-3084703_100,287.DR97_6080,7.93E-270,738,"COG0584@1|root,COG0584@2|Bacteria,1R7ZE@1224|Proteobacteria,1SZRJ@1236|Gammaproteobacteria,1YIP8@136841|Pseudomonas aeruginosa group",1236|Gammaproteobacteria,C,Glycerophosphoryl diester phosphodiesterase family,glpQ,-,3.1.4.46,ko:K01126,"ko00564,map00564",-,"R01030,R01470","RC00017,RC00425","ko00000,ko00001,ko01000",-,-,-,GDPD
64,Lys2_ev_pop2_6,14_6_2811042-3146373_152,287.DR97_6080,7.93E-270,738,"COG0584@1|root,COG0584@2|Bacteria,1R7ZE@1224|Proteobacteria,1SZRJ@1236|Gammaproteobacteria,1YIP8@136841|Pseudomonas aeruginosa group",1236|Gammaproteobacteria,C,Glycerophosphoryl diester phosphodiesterase family,glpQ,-,3.1.4.46,ko:K01126,"ko00564,map00564",-,"R01030,R01470","RC00017,RC00425","ko00000,ko00001,ko01000",-,-,-,GDPD
65,Lys2_ev_pop2_6,14_6_2811042-3146373_203,287.DR97_6136,6.13E-59,181,"COG1146@1|root,COG1146@2|Bacteria,1N06F@1224|Proteobacteria,1S93M@1236|Gammaproteobacteria,1YGPH@136841|Pseudomonas aeruginosa group",1236|Gammaproteobacteria,C,4Fe-4S binding domain,HA62_15845,-,-,-,-,-,-,-,-,-,-,-,Fer4_7
66,Lys2_ev_pop1_3,13_3_2835111-3078848_100,287.DR97_6053,9.82E-114,325,"COG2080@1|root,COG2080@2|Bacteria,1RD8C@1224|Proteobacteria,1S3RP@1236|Gammaproteobacteria,1YG53@136841|Pseudomonas aeruginosa group",1236|Gammaproteobacteria,C,[2Fe-2S] binding domain,iorA,-,"1.17.2.1,1.3.99.16","ko:K07302,ko:K18029","ko00760,ko01120,map00760,map01120",M00622,R09473,RC00589,"ko00000,ko00001,ko00002,ko01000",-,-,-,"Fer2,Fer2_2"
67,Lys2_ev_pop1_4,13_4_2839227-3026093_97,287.DR97_6053,9.82E-114,325,"COG2080@1|root,COG2080@2|Bacteria,1RD8C@1224|Proteobacteria,1S3RP@1236|Gammaproteobacteria,1YG53@136841|Pseudomonas aeruginosa group",1236|Gammaproteobacteria,C,[2Fe-2S] binding domain,iorA,-,"1.17.2.1,1.3.99.16","ko:K07302,ko:K18029","ko00760,ko01120,map00760,map01120",M00622,R09473,RC00589,"ko00000,ko00001,ko00002,ko01000",-,-,-,"Fer2,Fer2_2"
68,Lys2_ev_pop2_3,14_3_2890191-3084703_72,287.DR97_6053,9.82E-114,325,"COG2080@1|root,COG2080@2|Bacteria,1RD8C@1224|Proteobacteria,1S3RP@1236|Gammaproteobacteria,1YG53@136841|Pseudomonas aeruginosa group",1236|Gammaproteobacteria,C,[2Fe-2S] binding domain,iorA,-,"1.17.2.1,1.3.99.16","ko:K07302,ko:K18029","ko00760,ko01120,map00760,map01120",M00622,R09473,RC00589,"ko00000,ko00001,ko00002,ko01000",-,-,-,"Fer2,Fer2_2"
69,Lys2_ev_pop2_6,14_6_2811042-3146373_124,287.DR97_6053,9.82E-114,325,"COG2080@1|root,COG2080@2|Bacteria,1RD8C@1224|Proteobacteria,1S3RP@1236|Gammaproteobacteria,1YG53@136841|Pseudomonas aeruginosa group",1236|Gammaproteobacteria,C,[2Fe-2S] binding domain,iorA,-,"1.17.2.1,1.3.99.16","ko:K07302,ko:K18029","ko00760,ko01120,map00760,map01120",M00622,R09473,RC00589,"ko00000,ko00001,ko00002,ko01000",-,-,-,"Fer2,Fer2_2"
